Year,Team,Opponent,Man of the Match (Final),Man of the Series
2008,Rajasthan Royals,Chennai Super Kings,Yusuf Pathan,Shane Watson
2009,Deccan Chargers,Royal Challengers Bangalore,Anil Kumble,Adam Gilchrist
2010,Chennai Super Kings,Mumbai Indians,MS Dhoni,Sachin Tendulkar
2011,Chennai Super Kings,Royal Challengers Bangalore,Murali Vijay,Chris Gayle
2012,Kolkata Knight Riders,Chennai Super Kings,Manvinder Bisla,Sunil Narine
2013,Mumbai Indians,Chennai Super Kings,Kieron Pollard,Michael Hussey
2014,Kolkata Knight Riders,Kings XI Punjab,Manish Pandey,Glenn Maxwell
2015,Mumbai Indians,Chennai Super Kings,Rohit Sharma,Andre Russell
2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Ben Cutting,Virat Kohli
2017,Mumbai Indians,Rising Pune Supergiant,Krunal Pandya,Ben Stokes
2018,Chennai Super Kings,Sunrisers Hyderabad,Shane Watson,Sunil Narine
2019,Mumbai Indians,Chennai Super Kings,Jasprit Bumrah,Andre Russell
2020,Mumbai Indians,Delhi Capitals,Trent Boult,KL Rahul
2021,Chennai Super Kings,Kolkata Knight Riders,Faf du Plessis,Harshal Patel
2022,Gujarat Titans,Rajasthan Royals,Hardik Pandya,Jos Buttler
2023,Chennai Super Kings,Gujarat Titans,Devon Conway,Shubman Gill
2024,Kolkata Knight Riders,Sunrisers Hyderabad,Mitchell Starc,Sunil Narine
